_id,applicant_id_token,age_band,ip_anonymised,email_hash,spending_behavior,processing_timestamp,applicant_info.gender,applicant_info.zip_code,financials.annual_income,financials.credit_history_months,financials.debt_to_income,financials.savings_balance,decision.loan_approved,decision.rejection_reason,loan_purpose,decision.interest_rate,decision.approved_amount,ssn_is_duplicate
app_001,d41d2d3ee3c17a8ea451b4e0e17dd67a9904276c56df4d66d2d362451a1b6243,35-39,10.121.120.0,137c1b4a89343995539bffbc9ce6edaa65bcb498fc0434d01cca2904362315c5,"[{'category': 'Fitness', 'amount': 576}]",,Female,90230.0,102000.0,37.0,0.42,0.0,False,high_dti_ratio,,,,False
app_002,0fe375ff5eace41ca3e645fa639dae5c049dc6e05b4aaa2ad4d4c804964d72d8,25-29,172.19.95.0,ad586ff31ede0ddcf626645f064f888e0f8e7beb3f81e2c3c8c3bbd46341011d,"[{'category': 'Education', 'amount': 533}]",,Male,10020.0,41000.0,5.0,0.36,18200.0,False,algorithm_risk_score,,,,False
app_003,12cf2c11d33c9c78f03ff92cee1e7a8812bc38224e30e8eff61c98a0cd14ee19,40-44,172.21.35.0,f110fede2c1f19f308c6cbf664f079f53438e00dfe44d68112a21991b94039a0,"[{'category': 'Healthcare', 'amount': 450}]",,Female,90213.0,65000.0,74.0,0.43,7090.0,True,,,3.4,76000.0,False
app_004,75b4f0b340f8776bc93655a7a02a885b0fa4b29ee9cf147dc38634358a00f789,30-34,172.31.79.0,a094d9056654b513ce0e2f5c254f33470604a4549c72d30d708a18d32e07ed75,"[{'category': 'Transportation', 'amount': 329}, {'category': 'Groceries', 'amount': 810}]",,Female,90217.0,69000.0,9.0,0.41,10327.0,False,high_dti_ratio,,,,False
app_005,1c0d2dc320db2fc4c1167f03bb48a2cdae494344339845282dea93f13ec828dc,65-69,172.25.44.0,1a407bcae335e67007abb52c9b1766b7b9cd78403829ffdea416d7b088f3e9be,"[{'category': 'Insurance', 'amount': 585}]",,Female,90296.0,39000.0,76.0,0.06,15011.0,False,algorithm_risk_score,,,,False
app_006,a2bab8fdaed43358608a8790521d2d902db55eda773996e24ec4a8ce0b6722eb,35-39,172.26.92.0,337ee2956c45d0d4938c4e718cb5e6ec1f6ccbf958660724f1708937a6983404,"[{'category': 'Shopping', 'amount': 121}, {'category': 'Insurance', 'amount': 570}]",,Male,10048.0,82000.0,24.0,0.21,0.0,True,,,6.2,27000.0,False
app_007,96a3a47e5b1e95f32be722006d3a9cf5b47669dc188cd237c620df642d52624d,35-39,192.168.11.0,b45a8b4d60df52cfc9a9fb3f56a89b605869c0c1c7c04a474caa873873261b0d,"[{'category': 'Transportation', 'amount': 290}, {'category': 'Healthcare', 'amount': 416}]",,Female,90284.0,92000.0,77.0,0.08,21353.0,True,,,5.2,27000.0,False
app_008,0e49f3e03ce8965d7970772e14ab57a09dd239bfd13a529a06a31b2020dfab6e,30-34,10.234.196.0,ff32c6d4ec51a96e80934b5222dcfa87671d7c78e32578ae75fe8bb269298f03,"[{'category': 'Utilities', 'amount': 881}]",,Female,90244.0,80000.0,24.0,0.43,22882.0,True,,,3.6,51000.0,False
app_009,171a443a3520cabec2e24d4eda82902b5bdf67d48ad75a3b0a0e2b13cbf185dd,35-39,192.168.237.0,3f09cc2911abb656241aa353026f147d0c8a29775d8bcea0723a0bc95f40455d,"[{'category': 'Entertainment', 'amount': 718}]",,Female,90261.0,92000.0,15.0,0.08,39921.0,True,,,5.9,27000.0,False
app_010,8ea07485a54d3749db06cd189f9fdac280e4f677a97a9a6518c6b9f74879f46d,25-29,10.100.68.0,39bfcfa92a30fd49afb57b617ae9d28d9b6ce34dcdf6d9a1ff2204e15fa2e958,"[{'category': 'Utilities', 'amount': 866}]",,Female,90250.0,44000.0,62.0,0.25,6824.0,False,algorithm_risk_score,,,,False
